idx,tactile_timestamp,arm_joint_pos,hand_curr_joint_pos,hand_target_joint_pos
20,1708577288.4162,"[ 1.98968587e-03  4.78069074e-03  3.23552241e-03  6.94028360e-04
 -1.56950244e+00 -1.96927159e-03]","[ 1.80089343e+00  1.38058271e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
21,1708577288.659186,"[ 1.98968587e-03  4.77601730e-03  3.23244449e-03  6.94028360e-04
 -1.56948887e+00 -1.96900016e-03]","[ 1.80089343e+00  1.38058271e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
22,1708577288.7879927,"[ 1.98913757e-03  4.77290167e-03  3.23121333e-03  6.94028360e-04
 -1.56947605e+00 -1.96874381e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
23,1708577288.9330544,"[ 1.98913757e-03  4.76926677e-03  3.22875100e-03  6.94028360e-04
 -1.56946323e+00 -1.97000589e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
24,1708577289.0751462,"[ 1.98913757e-03  4.76563187e-03  3.22690425e-03  6.94028360e-04
 -1.56945494e+00 -1.96984001e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
25,1708577289.2177138,"[ 1.98858928e-03  4.76095843e-03  3.22505751e-03  6.94028360e-04
 -1.56944061e+00 -1.96955350e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
26,1708577289.3732996,"[ 1.98858928e-03  4.75524644e-03  3.22382634e-03  6.94028360e-04
 -1.56943006e+00 -1.96934239e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
27,1708577289.5231197,"[ 1.98858928e-03  4.75316935e-03  3.22321076e-03  6.94028360e-04
 -1.56942553e+00 -1.96925191e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
28,1708577289.638467,"[ 1.98858928e-03  4.75005372e-03  3.22197959e-03  6.94028360e-04
 -1.56941950e+00 -1.96913127e-03]","[ 1.80089343e+00  1.53398076e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
29,1708577289.7391367,"[ 1.98858928e-03  4.74693809e-03  3.22074843e-03  6.94028360e-04
 -1.56941121e+00 -1.96896539e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
30,1708577289.8853784,"[ 1.98858928e-03  4.74382247e-03  3.22013285e-03  6.94028360e-04
 -1.56939914e+00 -1.96872412e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
31,1708577290.034808,"[ 1.98858928e-03  4.74018756e-03  3.21890168e-03  6.94028360e-04
 -1.56939010e+00 -1.96854316e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
32,1708577290.182757,"[ 1.98804098e-03  4.73759121e-03  3.21767052e-03  6.94028360e-04
 -1.56938180e+00 -1.96989572e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
33,1708577290.309878,"[ 1.98804098e-03  4.73603339e-03  3.21643935e-03  6.94028360e-04
 -1.56937728e+00 -1.96980525e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
34,1708577290.414631,"[ 1.98804098e-03  4.73239849e-03  3.21582377e-03  6.94028360e-04
 -1.56936748e+00 -1.96960921e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
35,1708577290.6627164,"[ 1.98804098e-03  4.72824432e-03  3.21397702e-03  6.94028360e-04
 -1.56935767e+00 -1.96941318e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.22135948e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57079637e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
